Year,Category,Nominee,Film,Winner,Type
1998,Best Director - Motion Picture,John Madden,Shakespeare in Love,False,Golden Globe
1998,Best Director - Motion Picture,Robert Redford,"Horse Whisperer, The",False,Golden Globe
1998,Best Director - Motion Picture,Peter Weir,The Truman Show,False,Golden Globe
1999,Best Director - Motion Picture,Sam Mendes,American Beauty,True,Golden Globe
1999,Best Director - Motion Picture,Norman Jewison,"Hurricane, The",False,Golden Globe
1999,Best Director - Motion Picture,Neil Jordan,The End of the Affair,False,Golden Globe
1999,Best Director - Motion Picture,Michael Mann,The Insider,False,Golden Globe
1999,Best Director - Motion Picture,Anthony Minghella,The Talented Mr. Ripley,False,Golden Globe
2000,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",True,Golden Globe
2000,Best Director - Motion Picture,Ridley Scott,Gladiator,False,Golden Globe
2000,Best Director - Motion Picture,Steven Soderbergh,Erin Brockovich,False,Golden Globe
2000,Best Director - Motion Picture,Steven Soderbergh,Traffic,False,Golden Globe
2000,Best Director - Motion Picture,István Szabó,Sunshine,False,Golden Globe
2001,Best Director - Motion Picture,Robert Altman,Gosford Park,True,Golden Globe
2001,Best Director - Motion Picture,Ron Howard,A Beautiful Mind,False,Golden Globe
2001,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,False,Golden Globe
2001,Best Director - Motion Picture,Baz Luhrmann,Moulin Rouge!,False,Golden Globe
2001,Best Director - Motion Picture,David Lynch,Mulholland Dr.,False,Golden Globe
2001,Best Director - Motion Picture,Steven Spielberg,A. I.: Artificial Intelligence,False,Golden Globe
2002,Best Director - Motion Picture,Martin Scorsese,Gangs of New York,True,Golden Globe
2002,Best Director - Motion Picture,Stephen Daldry,The Hours,False,Golden Globe
2002,Best Director - Motion Picture,Peter Jackson,"Lord of the Rings: The Two Towers, The",False,Golden Globe
2002,Best Director - Motion Picture,Spike Jonze,Adaptation,False,Golden Globe
2002,Best Director - Motion Picture,Rob Marshall,Chicago,False,Golden Globe
2002,Best Director - Motion Picture,Alexander Payne,About Schmidt,False,Golden Globe
2003,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Return of the King,True,Golden Globe
2003,Best Director - Motion Picture,Sofia Coppola,Lost in Translation,False,Golden Globe
2003,Best Director - Motion Picture,Clint Eastwood,Mystic River,False,Golden Globe
2003,Best Director - Motion Picture,Anthony Minghella,Cold Mountain,False,Golden Globe
2003,Best Director - Motion Picture,Peter Weir,Master and Commander: The Far Side of the World,False,Golden Globe
2004,Best Director - Motion Picture,Clint Eastwood,Million Dollar Baby,True,Golden Globe
2004,Best Director - Motion Picture,Marc Forster,Finding Neverland,False,Golden Globe
2004,Best Director - Motion Picture,Mike Nichols,Closer,False,Golden Globe
2004,Best Director - Motion Picture,Martin Scorsese,The Aviator,False,Golden Globe
2004,Best Director - Motion Picture,Alexander Payne,Sideways,False,Golden Globe
2005,Best Director - Motion Picture,Ang Lee,Brokeback Mountain,True,Golden Globe
2005,Best Director - Motion Picture,Woody Allen,Match Point,False,Golden Globe
2005,Best Director - Motion Picture,George Clooney,"Good Night, and Good Luck",False,Golden Globe
2005,Best Director - Motion Picture,Fernando Meirelles,"Constant Gardener, The",False,Golden Globe
2005,Best Director - Motion Picture,Steven Spielberg,Munich,False,Golden Globe
2005,Best Director - Motion Picture,Peter Jackson,King Kong (2005),False,Golden Globe
2006,Best Director - Motion Picture,Martin Scorsese,"Departed, The",True,Golden Globe
2006,Best Director - Motion Picture,Clint Eastwood,Flags of Our Fathers,False,Golden Globe
2006,Best Director - Motion Picture,Clint Eastwood,Letters from Iwo Jima,False,Golden Globe
2006,Best Director - Motion Picture,Stephen Frears,"Queen, The",False,Golden Globe
2006,Best Director - Motion Picture,Alejandro González Iñárritu,Babel,False,Golden Globe
2007,Best Director - Motion Picture,Julian Schnabel,The Diving Bell and the Butterfly,True,Golden Globe
2007,Best Director - Motion Picture,Ridley Scott,American Gangster,False,Golden Globe
2007,Best Director - Motion Picture,Joe Wright,Atonement,False,Golden Globe
2007,Best Director - Motion Picture,Tim Burton,Sweeney Todd: The Demon Barber of Fleet Street,False,Golden Globe
2007,Best Director - Motion Picture,"Ethan Coen, Joel Coen",No Country for Old Men,False,Golden Globe
2008,Best Director - Motion Picture,Danny Boyle,Slumdog Millionaire,True,Golden Globe
2008,Best Director - Motion Picture,Stephen Daldry,"Reader, The",False,Golden Globe
2008,Best Director - Motion Picture,David Fincher,The Curious Case of Benjamin Button,False,Golden Globe
2008,Best Director - Motion Picture,Ron Howard,Frost/Nixon,False,Golden Globe
2008,Best Director - Motion Picture,Sam Mendes,Revolutionary Road,False,Golden Globe
2009,Best Director - Motion Picture,James Cameron,Avatar,True,Golden Globe
2009,Best Director - Motion Picture,Kathryn Bigelow,"Hurt Locker, The",False,Golden Globe
2009,Best Director - Motion Picture,Jason Reitman,Up In The Air,False,Golden Globe
2009,Best Director - Motion Picture,Quentin Tarantino,Inglourious Basterds,False,Golden Globe
2009,Best Director - Motion Picture,Clint Eastwood,Invictus,False,Golden Globe
2010,Best Director - Motion Picture,David Fincher,The Social Network,True,Golden Globe
2010,Best Director - Motion Picture,Darren Aronofsky,Black Swan,False,Golden Globe
2010,Best Director - Motion Picture,Tom Hooper,The King's Speech,False,Golden Globe
2010,Best Director - Motion Picture,Christopher Nolan,Inception,False,Golden Globe
2010,Best Director - Motion Picture,David O. Russell,"Fighter, The",False,Golden Globe
2011,Best Director - Motion Picture,Martin Scorsese,Hugo,True,Golden Globe
2011,Best Director - Motion Picture,Alexander Payne,"Descendants, The",False,Golden Globe
2011,Best Director - Motion Picture,Woody Allen,Midnight In Paris,False,Golden Globe
2011,Best Director - Motion Picture,George Clooney,"Ides of March, The",False,Golden Globe
2011,Best Director - Motion Picture,Michel Hazanavicius,The Artist,False,Golden Globe
2012,Best Director - Motion Picture,Ben Affleck,Argo,True,Golden Globe
2012,Best Director - Motion Picture,Ang Lee,Life of Pi,False,Golden Globe
2012,Best Director - Motion Picture,Steven Spielberg,Lincoln,False,Golden Globe
2012,Best Director - Motion Picture,Kathryn Bigelow,Zero Dark Thirty 	,False,Golden Globe
2012,Best Director - Motion Picture,Quentin Tarantino,Django Unchained,False,Golden Globe
2013,Best Director - Motion Picture,Alfonso Cuarón,Gravity,True,Golden Globe
2013,Best Director - Motion Picture,Steve McQueen,12 Years a Slave,False,Golden Globe
2013,Best Director - Motion Picture,Paul Greengrass,Captain Phillips,False,Golden Globe
2013,Best Director - Motion Picture,David O. Russell,American Hustle,False,Golden Globe
2013,Best Director - Motion Picture,Alexander Payne,Nebraska,False,Golden Globe
2014,Best Director - Motion Picture,Richard Linklater,Boyhood,True,Golden Globe
