Year,Award,Winner,Film,Nominee,Type
1976,Directing,False,Seven Beauties,Lina Wertmüller,Academy Award
1977,Directing,True,Annie Hall,Woody Allen,Academy Award
1977,Directing,False,Close Encounters of the Third Kind,Steven Spielberg,Academy Award
1977,Directing,False,Julia,Fred Zinnemann,Academy Award
1977,Directing,False,Star Wars,George Lucas,Academy Award
1977,Directing,False,The Turning Point,Herbert Ross,Academy Award
1978,Directing,False,Coming Home,Hal Ashby,Academy Award
1978,Directing,True,The Deer Hunter,Michael Cimino,Academy Award
1978,Directing,False,Heaven Can Wait,"Warren Beatty, Buck Henry",Academy Award
1978,Directing,False,Interiors,Woody Allen,Academy Award
1978,Directing,False,Midnight Express,Alan Parker,Academy Award
1979,Directing,False,All That Jazz,Bob Fosse,Academy Award
1979,Directing,False,Apocalypse Now,Francis Coppola,Academy Award
1979,Directing,False,Breaking Away,Peter Yates,Academy Award
1979,Directing,True,Kramer vs. Kramer,Robert Benton,Academy Award
1979,Directing,False,La Cage aux Folles,Edouard Molinaro,Academy Award
1980,Directing,False,The Elephant Man,David Lynch,Academy Award
1980,Directing,True,Ordinary People,Robert Redford,Academy Award
1980,Directing,False,Raging Bull,Martin Scorsese,Academy Award
1980,Directing,False,The Stunt Man,Richard Rush,Academy Award
1980,Directing,False,Tess,Roman Polanski,Academy Award
1981,Directing,False,Atlantic City,Louis Malle,Academy Award
1981,Directing,False,Chariots of Fire,Hugh Hudson,Academy Award
1981,Directing,False,On Golden Pond,Mark Rydell,Academy Award
1981,Directing,False,Raiders of the Lost Ark,Steven Spielberg,Academy Award
1981,Directing,True,Reds,Warren Beatty,Academy Award
1982,Directing,False,Das Boot,Wolfgang Petersen,Academy Award
1982,Directing,False,E.T. The Extra-Terrestrial,Steven Spielberg,Academy Award
1982,Directing,True,Gandhi,Richard Attenborough,Academy Award
1982,Directing,False,Tootsie,Sydney Pollack,Academy Award
1982,Directing,False,The Verdict,Sidney Lumet,Academy Award
1983,Directing,False,The Dresser,Peter Yates,Academy Award
1983,Directing,False,Fanny & Alexander,Ingmar Bergman,Academy Award
1983,Directing,False,Silkwood,Mike Nichols,Academy Award
1983,Directing,False,Tender Mercies,Bruce Beresford,Academy Award
1983,Directing,True,Terms of Endearment,James L. Brooks,Academy Award
1984,Directing,True,Amadeus,Milos Forman,Academy Award
1984,Directing,False,Broadway Danny Rose,Woody Allen,Academy Award
1984,Directing,False,The Killing Fields,Roland Joffé ,Academy Award
1984,Directing,False,A Passage to India,David Lean,Academy Award
1984,Directing,False,Places in the Heart,Robert Benton,Academy Award
1985,Directing,False,Kiss of the Spider Woman,Hector Babenco,Academy Award
1985,Directing,True,Out of Africa,Sydney Pollack,Academy Award
1985,Directing,False,Prizzi's Honor,John Huston,Academy Award
1985,Directing,False,Ran,Akira Kurosawa,Academy Award
1985,Directing,False,Witness,Peter Weir,Academy Award
1986,Directing,False,Blue Velvet,David Lynch,Academy Award
1986,Directing,False,Hannah and Her Sisters,Woody Allen,Academy Award
1986,Directing,False,The Mission,Roland Joffé,Academy Award
1986,Directing,True,Platoon,Oliver Stone,Academy Award
1986,Directing,False,A Room with a View,James Ivory,Academy Award
1987,Directing,False,Fatal Attraction,Adrian Lyne,Academy Award
1987,Directing,False,Hope and Glory,John Boorman,Academy Award
1987,Directing,True,The Last Emperor,Bernardo Bertolucci,Academy Award
1987,Directing,False,Moonstruck,Norman Jewison,Academy Award
1987,Directing,False,My Life as a Dog,Lasse Hallström,Academy Award
1988,Directing,False,A Fish Called Wanda,Charles Crichton,Academy Award
1988,Directing,False,The Last Temptation of Christ,Martin Scorsese,Academy Award
1988,Directing,False,Mississippi Burning,Alan Parker,Academy Award
1988,Directing,True,Rain Man,Barry Levinson,Academy Award
1988,Directing,False,Working Girl,Mike Nichols,Academy Award
1989,Directing,True,Born on the Fourth of July,Oliver Stone,Academy Award
1989,Directing,False,Crimes and Misdemeanors,Woody Allen,Academy Award
1989,Directing,False,Dead Poets Society,Peter Weir,Academy Award
1989,Directing,False,Henry V,Kenneth Branagh,Academy Award
1989,Directing,False,My Left Foot,Jim Sheridan,Academy Award
1990,Directing,True,Dances With Wolves,Kevin Costner,Academy Award
1990,Directing,False,"The Godfather, Part III",Francis Ford Coppola,Academy Award
1990,Directing,False,Good Fellas,Martin Scorsese,Academy Award
1990,Directing,False,The Grifters,Stephen Frears,Academy Award
1990,Directing,False,Reversal of Fortune,Barbet Schroeder,Academy Award
1991,Directing,False,Boyz N the Hood,John Singleton,Academy Award
1991,Directing,False,Bugsy,Barry Levinson,Academy Award
1991,Directing,False,JFK,Oliver Stone,Academy Award
1991,Directing,True,The Silence of the Lambs,Jonathan Demme,Academy Award
1991,Directing,False,Thelma & Louise,Ridley Scott,Academy Award
1992,Directing,False,The Crying Game,Neil Jordan,Academy Award
1992,Directing,False,Howards End,James Ivory,Academy Award
1992,Directing,False,The Player,Robert Altman,Academy Award
1992,Directing,False,Scent of a Woman,Martin Brest,Academy Award
1992,Directing,True,Unforgiven,Clint Eastwood,Academy Award
1993,Directing,False,In the Name of the Father,Jim Sheridan,Academy Award
1993,Directing,False,The Piano,Jane Campion,Academy Award
